time_ms,ir,ax,ay,az,gx,gy,gz,label
596948,122952,-117,-55,45,-769,16098,6118,R
597030,123573,-203,-33,139,-2159,16490,4576,R
597112,124541,-643,-62,157,-1791,16100,5088,R
597194,123996,-584,-53,164,-637,14782,7802,R
597291,123307,-423,-164,230,732,14356,7966,R
597373,123106,-326,-214,153,1118,13049,8247,R
597455,123058,41,-86,10,1795,12693,7935,R
597537,123137,-99,34,-112,2994,12133,8526,R
597634,123402,-180,140,67,2606,12584,8550,R
597716,123033,-383,228,219,1726,13270,9079,R
597798,122575,-393,299,287,2083,12208,8357,R
597880,122225,-337,208,335,1815,13651,10639,R
597961,122185,-84,111,342,1944,11967,10420,R
598058,122147,-61,-6,38,2468,13399,10541,R
598139,122327,-67,-19,-63,1725,12649,10692,R
598221,122258,233,-13,-121,1441,12970,10522,R
598303,122400,-18,-42,-107,1862,13076,9748,R
598385,122492,-39,-17,-42,1211,12866,10380,R
598482,121935,160,2,-60,1471,12687,10281,R
598564,121730,275,21,-103,1480,13385,9687,R
598646,121823,-5,13,-34,1448,13685,9618,R
598728,121770,43,27,30,1738,12861,9724,R
598825,121567,65,14,7,1269,12981,9834,R
598907,121559,77,32,4,1144,13253,9501,R
598989,121619,117,68,-44,1408,13194,9350,R
599071,121929,-114,26,-59,1396,13378,9447,R
599170,121864,1,-24,1,864,13672,9704,R
599252,121702,33,-7,-9,1042,13054,9324,R
599334,121844,-17,-4,-10,1032,13258,9679,R
599431,121812,91,5,-16,974,13255,9608,R
599512,121840,-20,5,-21,1040,13165,9198,R
599594,121532,77,23,-24,1075,13261,9248,R
599675,122039,7,6,-21,968,13209,9316,R
599756,122255,10,9,-19,911,13490,9415,R
599837,122267,-98,13,-8,883,13300,9154,R
599918,122133,74,35,-49,829,13350,9474,R
600000,122275,-14,7,-8,780,13437,9506,R
600097,122224,-5,14,14,800,13427,9332,R
600178,122075,-12,-17,2,784,13284,9429,R
600259,121980,-23,-9,12,699,13389,9505,R
600341,121897,-44,-6,1,1169,13236,9700,R
600422,121716,-211,-22,10,605,13280,9595,R
600503,121404,-296,-31,-17,869,12470,10238,R
600584,121389,-182,-32,-24,675,13112,10325,R
600666,121374,203,13,-12,807,12634,10430,R
600747,121703,102,53,-9,814,12812,9611,R
600844,121739,-156,10,-7,789,12810,10384,R
600925,121638,-378,-39,-18,741,12440,10040,R
601007,121589,0,2,-67,781,12095,10557,R
601088,121721,-43,-5,-25,664,12163,10435,R
601170,121806,33,-18,-16,489,12754,10489,R
601251,121777,52,11,-7,704,12581,10461,R
601350,121874,74,22,5,596,12585,10583,R
601432,122085,19,-7,1,592,12587,10667,R
601513,121889,54,2,-32,564,12722,10244,R
601595,121912,29,-6,-11,534,12723,10486,R
601692,121922,-8,14,-2,626,12780,10183,R
601773,121902,17,-16,1,624,12633,10466,R
601854,122053,-19,-33,-12,592,12996,10127,R
601936,121880,-45,9,23,656,12855,10434,R
602017,121824,-4,-19,16,421,12520,10432,R
602099,121916,11,-6,0,623,12624,10429,R
602180,121927,77,-4,10,722,12728,10330,R
602261,121978,-2,0,6,559,12750,10298,R
602358,121995,-5,6,-13,593,12830,10187,R
602440,122091,12,-1,-9,671,13036,10262,R
602521,122123,-3,1,7,579,12940,10217,R
602602,121825,-1,7,3,430,12879,10242,R
602683,121884,-8,5,-9,671,12715,10282,R
602764,121870,1,-9,8,642,12665,10094,R
602845,121877,3,0,-5,606,12765,10166,R
602926,122010,2,0,8,692,12740,10330,R
603007,121982,-10,-12,19,603,12780,10391,R
603088,122070,-7,7,1,645,12684,10298,R
603169,122126,8,-1,3,480,12705,10226,R
603250,122135,8,-5,-8,759,12691,10271,R
603331,122198,-14,-1,-6,511,12753,10159,R
603428,122241,-7,1,5,513,12799,10464,R
603509,121934,7,-1,1,650,12763,10323,R
603590,121942,-3,1,1,515,12746,10243,R
603671,122029,-19,-5,6,628,12683,10243,R
603752,122100,-19,-6,18,599,12716,10322,R
603834,122101,5,-5,7,584,12672,10359,R
603915,122181,-19,22,5,686,12687,10294,R
603996,122148,-19,1,11,503,12730,10376,R
604077,122190,2,3,12,609,12589,10477,R
604159,122292,-8,-7,3,436,12639,10491,R
604256,122099,-7,-12,26,629,12837,10330,R
604337,122125,9,-33,7,855,12640,10334,R
604418,122213,7,-26,20,758,12792,10279,R
604499,122343,106,55,15,940,12705,10200,R
604581,122408,135,93,8,423,13043,10037,R
