time_ms,ir,ax,ay,az,gx,gy,gz,label
384191,116731,13,0,-3,2519,-16043,-1937,R
384288,116813,26,-2,-5,2333,-16224,-2058,R
384370,116785,10,-2,4,2412,-16263,-1983,R
384452,116809,-7,1,-5,2403,-16269,-2264,R
384534,116883,0,10,-10,2441,-16295,-2137,R
384631,116941,4,2,3,2316,-16181,-2004,R
384713,116932,5,4,3,2390,-16264,-1952,R
384795,116838,4,-13,2,2377,-16220,-2151,R
384877,116812,-7,-10,1,2413,-16215,-2214,R
384976,116852,-9,-6,11,2488,-16284,-1991,R
385058,116832,-1,-6,11,2318,-16312,-1977,R
385140,116849,11,-1,9,2540,-16230,-1994,R
385237,116876,2,1,3,2480,-16222,-1846,R
385319,116811,6,9,6,2244,-16456,-2255,R
385401,116790,-2,5,-2,2266,-16293,-2034,R
385483,116837,0,-10,0,2325,-16304,-2132,R
385580,116710,-1,-2,5,2536,-16395,-2159,R
385662,116818,-8,-9,3,2318,-16154,-1884,R
385744,116828,-7,-6,13,2372,-16298,-1931,R
385826,116842,-6,-2,7,2463,-16153,-1929,R
385925,116840,8,2,-1,2235,-16348,-2014,R
386007,116851,-17,-6,0,2305,-16326,-1924,R
386089,116860,-3,-7,-3,2378,-16074,-2033,R
386186,116881,-4,-8,7,2237,-16387,-2168,R
386268,116801,-8,-8,12,2418,-16076,-2031,R
386350,116701,-9,-10,10,2423,-16277,-1994,R
386432,116771,4,-6,3,2418,-16318,-2072,R
386529,116763,16,-9,-6,2111,-16391,-2033,R
386611,116733,10,14,8,2477,-16192,-1537,R
386693,116731,11,-4,-9,2358,-16136,-2020,R
386775,116731,-6,7,3,2427,-16551,-1828,R
386874,116695,11,-5,-1,2506,-16256,-1820,R
386956,116722,-7,-1,-1,2388,-16367,-1924,R
387038,116628,-8,-5,-4,2397,-16269,-1716,R
387135,116608,4,2,-4,2113,-16421,-1833,R
387217,116640,1,-2,2,2147,-16112,-2000,R
387299,116642,5,2,1,2314,-16146,-1851,R
387381,116615,-6,-2,4,2436,-16233,-1871,R
387478,116676,1,-5,0,2380,-16203,-1818,R
387560,116638,15,-4,1,2463,-16280,-1706,R
387642,116691,3,-9,11,2337,-16195,-1888,R
387724,116658,-5,-3,8,2407,-16166,-1822,R
387823,116562,3,-4,-1,2561,-16264,-1794,R
387905,116671,-11,5,13,2264,-16475,-2038,R
