time_ms,ir,ax,ay,az,gx,gy,gz,label
19014,128348,7,-4,9,290,8538,14118,R
19095,126135,6,6,4,297,8597,14227,R
19176,126084,-15,-4,6,126,8238,14126,R
19273,126332,-5,1,-3,295,8578,14193,R
19355,126976,-6,1,2,36,8407,14245,R
19437,127041,-10,2,-2,226,8415,14317,R
19519,127469,0,-4,-3,259,8380,14299,R
19600,127886,-1,-11,10,201,8380,14209,R
19697,128225,6,-4,9,263,8447,14240,R
19779,128339,-9,4,-13,236,8529,14185,R
19860,128470,14,-6,-5,155,8469,14095,R
19942,128623,7,6,6,175,8515,14185,R
20024,128758,-5,1,-13,201,8457,14208,R
20105,128867,-3,-1,8,109,8469,14036,R
20202,126701,-8,12,0,237,8447,14264,R
20284,127055,-7,-4,3,229,8382,14155,R
20366,127276,3,11,-14,281,8433,14263,R
20448,127788,2,-2,-3,205,8508,13936,R
20545,127737,1,-1,-9,155,8291,14158,R
20627,127977,-4,-1,-9,112,8375,14135,R
20709,128274,-12,9,7,66,8528,14244,R
20791,128430,-7,-7,4,129,8433,14177,R
20888,128525,-11,0,7,107,8377,14018,R
20970,128645,17,-11,-1,41,8409,13969,R
21052,128090,2,8,3,112,8364,14067,R
21134,126840,-4,-18,15,197,8562,13954,R
21216,127456,-6,4,5,18,8314,14079,R
21313,128028,6,-9,4,61,8475,14184,R
21395,128054,-1,2,8,106,8459,14070,R
21477,128191,4,3,7,232,8538,14210,R
21558,128492,0,-7,2,100,8394,14135,R
21640,128643,-4,-11,5,153,8455,14097,R
21737,128838,-1,-7,3,143,8374,14188,R
21819,127167,-4,7,-13,160,8530,14312,R
21900,129036,-3,-8,13,60,8517,14154,R
21982,127816,9,2,3,65,8388,14042,R
22064,127244,4,1,-2,-22,8331,14203,R
22161,127639,3,4,-6,143,8472,14182,R
22242,128104,-6,-7,-5,270,8525,14085,R
22324,128739,-1,4,3,128,8395,14173,R
22406,128332,11,3,-2,129,8413,14130,R
22487,128528,-3,-2,1,114,8503,14125,R
22569,128664,-11,6,0,284,8493,14295,R
22666,128763,-3,7,-5,194,8470,14134,R
22748,128852,-6,0,-3,257,8467,14292,R
22830,128978,4,3,-6,5,8461,14068,R
22912,129051,-2,0,1,99,8495,14257,R
23009,129100,1,3,1,123,8466,13916,R
23090,127508,3,6,10,14,8503,14081,R
23171,127615,5,-11,5,72,8429,14141,R
23253,128711,4,4,-1,128,8419,14225,R
23334,128216,3,-7,-6,91,8225,14116,R
23416,128157,-10,0,-4,66,8409,14110,R
23498,128311,-4,-7,6,54,8464,14087,R
23595,128564,3,-2,10,22,8473,14029,R
23677,128697,-9,8,5,102,8347,14146,R
23758,128744,20,6,-7,262,8480,14199,R
23839,128801,13,-11,6,-37,8435,14130,R
23921,128818,-14,-1,8,19,8467,14060,R
24003,127329,7,-7,10,112,8534,14214,R
24100,127691,-3,0,7,259,8290,14168,R
24182,127947,-22,-17,6,103,8528,14146,R
24264,128227,-6,-1,10,180,8393,14028,R
24346,128175,-1,3,-3,190,8455,14188,R
24427,128393,-5,-15,4,167,8495,14230,R
24524,128633,8,5,-9,163,8484,14068,R
24606,128002,3,10,7,165,8444,14152,R
24687,128791,11,-7,3,266,8506,14116,R
24769,128903,-9,-11,-4,49,8417,14005,R
24851,129004,-4,-4,-14,72,8451,14091,R
24948,128626,7,9,10,169,8301,14201,R
25029,127199,-6,1,6,132,8542,14093,R
25111,128529,-15,1,2,73,8447,14080,R
25193,127794,-5,-2,-14,22,8491,14202,R
25274,128189,-8,2,-3,74,8538,14033,R
25356,128124,11,-7,10,139,8451,14236,R
25453,128366,-8,-12,2,-107,8409,14256,R
25535,128558,6,-13,-3,265,8473,14165,R
25616,128661,8,2,-2,-1,8424,14093,R
25698,128769,-2,-8,0,26,8499,14068,R
25780,128835,3,-4,4,276,8555,14049,R
25877,128957,10,-15,6,163,8466,14115,R
25958,127823,-3,0,1,-10,8452,14229,R
26040,128202,12,-6,-7,83,8480,14035,R
26122,127606,13,16,-8,126,8544,14209,R
26204,127849,-17,5,-2,-73,8522,14060,R
26301,127846,-6,47,-6,171,8667,13955,R
26382,128029,16,-1,2,98,8695,14129,R
26464,128359,-9,-38,18,132,8161,14453,R
26546,128620,-31,-21,2,-18,8421,14156,R
26628,128935,-16,1,12,125,8656,14110,R
26725,129163,-12,-7,16,124,8389,14188,R
26807,129205,-7,6,5,288,8315,14151,R
26888,129307,3,-17,-7,256,8397,14218,R
26970,129102,6,-3,2,136,8531,14094,R
27052,127672,2,21,0,174,8431,14170,R
27133,127869,5,22,-16,18,8407,14064,R
27214,127777,5,37,-36,-62,8671,14466,R
27312,127811,-3,-21,9,-122,8395,14216,R
27394,127935,9,-33,6,-77,8418,14111,R
27476,128225,3,1,-4,122,8254,13984,R
27573,128482,-10,20,-4,-29,8702,14136,R
27655,128560,-22,-3,7,-24,8362,14219,R
27737,128688,40,-49,14,140,8476,14179,R
27819,128880,-11,-28,-7,-65,8310,13873,R
27918,128334,0,38,-14,266,8761,14211,R
28000,127572,21,-47,28,71,8579,14327,R
28081,127971,-10,6,-7,-29,7983,13934,R
28163,128113,35,0,-33,163,8869,14171,R
28244,128396,-1,-54,34,-2,8398,13915,R
28325,128594,-19,13,-15,-26,8334,13785,R
28422,128810,10,21,-17,118,8617,14232,R
28504,128925,-1,-11,12,123,8151,14278,R
28585,128998,-9,-1,-12,59,8266,14009,R
28667,129093,20,-4,-7,95,8633,14088,R
28749,129128,6,-15,17,127,8629,14154,R
28847,127934,3,7,-11,-179,8504,14162,R
28928,128150,9,-16,1,97,8533,14212,R
29009,128435,-3,1,-7,132,8539,14070,R
