time_ms,ir,ax,ay,az,gx,gy,gz,label
1431615,114692,5,1,-6,7156,-11206,-9788,R
1431697,114818,1,-3,1,7301,-11389,-9898,R
1431779,114967,-32,10,2,7311,-11159,-9997,R
1431876,114550,-3,-10,-4,7062,-11146,-9837,R
1431958,114135,-4,0,0,7206,-11330,-10108,R
1432040,114398,8,-3,-6,7286,-11349,-9841,R
1432122,114546,-4,-3,-8,7169,-11130,-9987,R
1432219,114537,-10,-3,6,7096,-11186,-10057,R
1432301,114663,-6,-5,-5,7210,-11143,-9996,R
1432383,114762,-10,-9,-2,7191,-11308,-9726,R
1432465,114891,-16,1,-2,7347,-11295,-9881,R
1432547,114246,0,3,-3,7307,-11097,-10090,R
1432644,114161,-8,-5,-6,7210,-11192,-9910,R
1432726,114449,6,3,-2,7191,-11263,-9916,R
1432808,114460,3,9,-4,7265,-11207,-10134,R
1432890,114475,-11,-2,-2,7190,-11218,-10049,R
1432987,114645,-6,-3,-5,7257,-11283,-9916,R
1433069,114789,-4,10,-5,7139,-11238,-9984,R
1433151,114738,-9,2,-3,7291,-11078,-10002,R
1433233,114126,3,-3,-7,7444,-11254,-10060,R
1433330,114514,2,-3,1,7413,-11300,-9995,R
1433412,114626,-5,-2,-4,7264,-11185,-9923,R
1433494,114601,-3,-2,7,7248,-11201,-9997,R
1433576,114730,-6,-8,3,7246,-11312,-10021,R
1433673,114844,-13,10,3,7321,-11352,-9989,R
1433755,114837,5,-7,4,7135,-11190,-9954,R
1433837,114149,5,-12,6,7278,-11254,-9999,R
1433919,114375,-10,-4,3,7364,-11177,-10027,R
1434001,114636,-2,-9,-4,7194,-11232,-10078,R
1434098,114585,-2,-3,1,7126,-11282,-9954,R
1434180,114677,0,-2,0,7447,-11323,-9995,R
1434262,114835,2,0,-3,7305,-11097,-9869,R
1434344,114822,0,1,0,7250,-11154,-10068,R
1434441,114062,2,2,4,7216,-11354,-10041,R
1434523,114352,-17,0,0,7227,-11161,-9803,R
1434605,114570,-3,-10,-9,7454,-11102,-9891,R
1434687,114547,13,-9,1,7161,-11472,-10029,R
1434784,114667,7,-8,6,7135,-11377,-9898,R
1434866,114783,-12,7,-1,7461,-10906,-10168,R
1434948,114869,-5,-7,-8,7238,-11295,-10084,R
1435030,114048,0,-12,18,7351,-11439,-9972,R
1435129,114271,-14,15,7,7258,-11310,-9748,R
1435211,114499,30,-9,3,7365,-11221,-9971,R
1435293,114501,-13,-9,5,7240,-11200,-10120,R
1435390,114577,29,-2,7,7103,-11462,-9714,R
1435472,114690,2,5,-5,7265,-11076,-10334,R
1435554,114857,-13,-1,-20,7206,-11104,-10105,R
1435636,114211,-15,10,-9,7331,-11113,-9745,R
1435733,114090,-1,-13,23,7107,-11716,-10029,R
1435815,114430,6,-2,-14,7454,-10428,-10136,R
1435897,114508,24,-33,8,6877,-11891,-9960,R
1435979,114505,-5,31,10,7356,-11234,-9777,R
1436078,114738,6,-6,-17,7507,-11014,-10204,R
1436160,114836,-10,-21,-2,7142,-11271,-10029,R
1436242,114867,10,7,-3,7125,-11461,-9966,R
1436339,114051,12,-6,5,7268,-11225,-10209,R
1436421,114344,-11,-2,-9,7361,-10871,-9906,R
1436503,114567,3,-10,0,7022,-11403,-9846,R
1436585,114527,6,-4,7,7332,-11404,-9921,R
1436682,114629,-10,-21,8,7286,-11091,-10042,R
1436764,114767,5,-6,10,7236,-11389,-9931,R
1436846,114853,-6,5,-5,7434,-11354,-9928,R
1436928,114342,7,-15,8,7182,-11264,-9686,R
1437010,114071,-1,-1,8,7247,-11244,-10144,R
1437107,114484,9,2,0,7367,-11264,-9791,R
1437188,114517,1,-7,0,7155,-11363,-9929,R
1437270,114468,-7,-5,6,7414,-11143,-10108,R
1437352,114642,-7,-2,2,7240,-11228,-9952,R
1437434,114749,-5,-4,10,7202,-11350,-9906,R
1437531,114256,-18,-12,11,7300,-11247,-10123,R
1437613,114036,-4,0,3,7151,-11157,-9858,R
1437695,114226,13,-11,0,7247,-11241,-10033,R
1437777,114360,2,-7,10,7109,-11346,-9857,R
1437874,114360,1,-5,-5,7184,-11046,-9993,R
1437956,114495,-13,-27,12,7097,-11316,-10037,R
1438038,114633,-23,1,0,7206,-11134,-10122,R
1438119,114715,9,-4,-6,7167,-11263,-9968,R
1438201,113855,15,-15,-9,7213,-11151,-10089,R
1438298,114016,-19,7,3,7148,-11194,-9971,R
1438379,114235,-3,1,3,7273,-11316,-9947,R
1438461,114214,5,-7,4,7161,-11317,-10038,R
1438543,114304,-2,0,-2,7177,-11194,-10020,R
1438625,114475,-1,-1,1,7101,-11241,-9987,R
1438722,114688,-4,3,2,7157,-11381,-10106,R
1438804,114247,-19,7,-6,7193,-11125,-9784,R
1438886,113814,26,-4,0,7161,-11125,-9905,R
1438968,114099,-7,-5,1,7217,-11119,-9972,R
1439065,114391,-1,-4,-6,7321,-11079,-10024,R
1439147,114404,-8,-3,-10,7217,-11207,-10000,R
1439229,114545,-16,2,4,7139,-11200,-9912,R
1439311,114691,-3,4,-3,7272,-11112,-10003,R
1439410,114666,-1,-3,1,7275,-11245,-10026,R
1439492,113964,3,-4,1,7268,-11119,-9994,R
1439574,114261,-16,2,-1,7224,-11029,-9960,R
1439671,114535,0,-7,5,7361,-11258,-9947,R
1439753,114508,-3,3,-2,7214,-11324,-9843,R
1439835,114627,4,-8,-7,7301,-11167,-10244,R
1439917,114754,0,-7,2,7258,-11194,-10000,R
1440014,114774,-5,-3,4,7228,-11182,-9955,R
1440096,114029,12,-7,5,7218,-11286,-10161,R
1440177,114202,-13,1,4,7155,-11323,-10065,R
1440259,114516,3,-2,5,7252,-11225,-9994,R
1440341,114510,-7,3,-6,7304,-11236,-10000,R
1440438,114599,1,2,-1,7353,-11246,-10129,R
1440520,114771,-10,-12,3,7174,-11276,-10075,R
1440602,114875,-1,-6,9,7301,-11178,-9895,R
1440684,114242,-9,-10,-3,7272,-11224,-10076,R
1440766,113967,-6,-1,18,7136,-11248,-9974,R
1440863,114401,7,-7,-1,7318,-11182,-9853,R
1440945,114492,-4,0,1,7141,-11225,-9973,R
1441027,114521,10,-6,7,7152,-11247,-10055,R
1441109,114626,-4,-3,-7,7222,-11314,-9981,R
1441206,114730,0,-2,5,7139,-11077,-10087,R
1441288,114549,-6,-11,4,7272,-11244,-9881,R
1441370,113869,0,-5,8,7269,-11182,-10005,R
1441452,114142,-4,-8,4,7233,-11192,-10149,R
1441549,114430,-2,-4,4,7218,-11219,-9949,R
1441631,114410,-18,-11,6,7249,-11266,-10059,R
1441713,114549,-13,-6,-7,7167,-11222,-9886,R
1441795,114689,-9,-7,-2,7308,-11117,-9975,R
1441892,114861,4,3,3,7228,-11289,-10010,R
1441974,114125,-9,1,1,7231,-11152,-9997,R
1442056,114067,-2,-7,4,7261,-11234,-10120,R
1442138,114402,-2,-4,4,7217,-11069,-9973,R
1442237,114477,11,-4,3,7240,-11318,-10090,R
1442319,114543,1,3,-8,7222,-11272,-9968,R
1442401,114727,-3,0,-1,7248,-11192,-10041,R
1442498,114896,-12,9,-1,7171,-11188,-10095,R
1442580,114622,-2,-4,-6,7273,-11097,-10006,R
1442662,114091,6,-9,5,7238,-11272,-9998,R
1442743,114433,-1,-5,3,7226,-11038,-9933,R
1442825,114661,6,-7,0,7371,-11159,-10015,R
1442922,114641,-16,3,5,7339,-11179,-10063,R
1443003,114740,-8,-8,-2,7371,-11114,-10025,R
1443085,114816,3,2,5,7304,-11209,-9944,R
1443166,114922,-9,1,-10,7289,-11310,-10009,R
1443248,114241,-2,0,0,7230,-11267,-10206,R
1443330,114431,-3,-2,-1,7230,-11170,-10034,R
1443427,114711,-3,1,0,7268,-11107,-9913,R
1443508,114656,-6,-4,7,7311,-11178,-9954,R
1443590,114727,11,-6,2,7250,-11118,-10068,R
1443671,114723,12,5,10,7397,-11205,-10017,R
1443752,114968,22,14,-10,7590,-11542,-9924,R
1443834,114084,-1,-7,5,7128,-10748,-10105,R
1443916,113969,0,-6,-1,7156,-11738,-10054,R
1444013,114357,-7,17,12,7344,-11056,-9766,R
1444095,114711,23,-40,23,7142,-11136,-9975,R
1444177,114517,41,-1,13,7210,-11070,-9941,R
1444259,114644,17,27,-10,7121,-11583,-9711,R
1444356,114878,-8,5,-20,7420,-11132,-9891,R
1444438,114228,-7,-31,-26,7495,-10999,-9913,R
1444520,114462,7,-10,-8,7080,-11521,-9948,R
1444602,114415,68,32,-31,7173,-11281,-10038,R
1444699,114152,72,6,-5,7305,-11645,-9640,R
1444781,114073,59,-9,1,7460,-11711,-9864,R
1444863,114065,31,21,-17,7244,-10861,-9545,R
1444945,114077,4,-23,-7,7595,-11719,-9547,R
1445044,113840,22,-57,26,7555,-11182,-9787,R
1445126,114131,141,-25,8,7021,-11165,-9455,R
1445208,114403,124,-2,31,7017,-11934,-9349,R
1445305,114927,17,16,1,7125,-11649,-9625,R
1445387,115000,44,-19,37,7414,-11461,-9195,R
1445469,115307,-59,11,72,7319,-11773,-9391,R
1445550,115804,-173,-60,139,6931,-12179,-9194,R
1445632,115298,21,-26,80,6511,-12083,-9479,R
1445729,115439,43,4,81,7306,-11516,-9858,R
1445811,115588,30,7,9,6647,-12259,-9227,R
1445892,115645,41,-3,-34,6706,-12057,-9290,R
1445974,115655,138,15,20,7017,-11972,-9381,R
1446055,115877,32,36,71,6905,-12017,-9159,R
1446137,115556,-33,-12,22,6570,-12508,-8913,R
1446234,114364,62,-7,13,6726,-12175,-9546,R
1446315,114333,217,-29,30,6676,-12326,-9008,R
1446397,114266,249,-29,33,6978,-12506,-8941,R
1446479,114081,327,-49,97,6493,-12440,-8286,R
1446561,114013,324,25,22,6505,-12251,-7624,R
1446642,113934,-89,75,-158,6709,-13689,-8790,R
1446739,113334,54,30,-16,6831,-13258,-7539,R
1446821,113056,47,-77,-30,7098,-12501,-7439,R
1446903,112938,-60,8,-45,6718,-12980,-8776,R
1446985,112829,-149,35,-62,6847,-12864,-8067,R
1447082,112763,50,-15,-22,7301,-12645,-8076,R
1447164,112715,-118,25,-78,6496,-12766,-8340,R
1447246,112782,-133,8,-73,7207,-12398,-8626,R
1447328,112390,6,-49,35,7398,-12318,-8585,R
1447425,112393,37,7,115,7695,-11941,-8328,R
1447507,112495,-25,21,58,6040,-13039,-8513,R
1447589,112300,29,-3,-23,6962,-12506,-8023,R
1447671,112508,-51,19,15,6987,-12366,-8541,R
1447770,112882,-116,46,-85,6872,-13002,-8712,R
1447852,113100,-157,7,-89,7178,-12338,-8528,R
1447934,112532,5,13,-110,7377,-12217,-8804,R
