time_ms,ir,ax,ay,az,gx,gy,gz,label
815526,122674,-2,0,10,-6782,-6179,-13786,M
815608,122733,-5,14,4,-6728,-6414,-13910,M
815705,122738,3,4,0,-6854,-6372,-13671,M
815787,122754,8,5,-12,-6926,-6384,-13491,M
815869,122710,-1,-11,-14,-6582,-6193,-13529,M
815951,122754,21,-36,11,-6848,-6373,-13862,M
816048,122735,67,39,-131,-7895,-8270,-15862,M
816130,122764,193,314,-389,-6210,-7967,-14434,M
816212,122994,186,223,-293,-4400,-5940,-10768,M
816294,123093,56,-337,-59,-3576,-4001,-8440,M
816391,123438,-508,-541,-278,-14412,-347,-23511,M
816473,123638,-803,-77,644,-19996,-12253,-31745,M
816555,123042,-332,90,1006,-4652,-10367,-13364,M
816637,123116,-895,-137,487,3106,-1062,-2841,M
816719,123536,672,133,781,3252,547,-2077,M
816816,123808,-419,-162,117,-9174,-17073,-12791,M
816898,122966,-2251,-2697,-1475,-12227,-10572,-20295,M
816980,123727,-739,-405,-1755,-5027,-13052,-12950,M
817062,123495,333,1115,-2149,-5465,4647,-5084,M
817159,123815,1291,2204,-1519,-28032,10266,-23394,M
817241,124240,2721,-333,1655,-27726,-2962,-30648,M
817323,124396,-203,139,618,-8421,-4105,-19395,M
817405,124862,-1184,188,776,-289,-6335,-6686,M
817502,125260,-1592,447,1132,4952,-9380,2517,M
817584,125196,-989,668,842,-5315,-22469,-2887,M
817666,124671,-2728,-2327,258,-14860,-17478,-16160,M
817748,125554,-472,-335,-1850,-7322,-12160,-15861,M
817845,125375,1407,892,-1998,-5223,597,-12066,M
817927,124835,2553,1601,-2228,-23719,8621,-25491,M
818009,125269,2079,-162,1532,-31866,-6900,-32768,M
818091,124679,954,810,1887,-8487,-5921,-17697,M
818190,125208,-707,1218,1523,-1077,-5331,-5748,M
818272,124893,-1197,1412,857,-204,-9954,-3166,M
818354,125974,-3438,869,896,-2024,-21183,1289,M
818451,125457,-3168,-2420,-953,-10490,-18038,-13416,M
818533,126252,641,-630,-2417,-8249,-7294,-11010,M
818615,125699,1074,280,-2907,-6192,2523,-12959,M
818697,126097,1432,1549,-2142,-20635,9850,-26562,M
818794,126468,2277,-472,1781,-31151,-6799,-32768,M
818876,126385,1292,1061,2153,-7363,-1833,-16865,M
818958,125662,-1461,1941,1696,-3594,-1427,-10324,M
819040,125499,-2129,1837,1016,-6689,-8900,-7877,M
819139,126216,-4078,387,1452,-7685,-27117,-4071,M
819221,125938,-1482,-1676,-733,-8975,-14515,-10194,M
819303,126791,521,-1092,-1744,-7898,-11183,-13249,M
819400,126945,2159,-11,-2865,-4446,-1349,-13714,M
819482,126773,3420,629,-2483,-15923,12403,-32768,M
819564,127401,1384,1050,419,-18841,-3253,-32768,M
819646,126899,-356,1214,1564,-11375,-13324,-22297,M
819743,125708,-553,2262,734,-712,-7624,-502,M
