time_ms,ir,ax,ay,az,gx,gy,gz,label
3124412,127024,-149,-126,-181,-6242,-10374,-5752,W
3124494,127166,-416,-26,9,-6134,-10613,-5905,W
3124591,126730,-38,92,212,-7764,-12834,-7353,W
3124673,126586,41,165,233,-8453,-13657,-8777,W
3124755,126724,320,145,454,-9849,-14687,-9074,W
3124837,126746,483,-35,-63,-7244,-9972,-9538,W
3124934,126845,207,-11,-76,-7881,-11351,-7648,W
3125016,126988,-89,-2,-146,-5296,-9724,-7480,W
3125098,127161,-130,-22,48,-5556,-11209,-7277,W
3125180,127169,4,-44,36,-6072,-12563,-8114,W
3125277,126679,-95,57,-25,-9317,-13960,-9088,W
3125359,126949,139,35,337,-10804,-15119,-9830,W
3125441,126977,13,-183,-48,-8072,-11632,-8715,W
3125523,127221,-271,-123,-114,-7775,-11589,-7225,W
3125622,127280,-189,-9,-114,-7074,-10712,-6507,W
3125704,127447,-321,1,-76,-6920,-11208,-6650,W
3125786,127437,-134,93,8,-7760,-12469,-7154,W
3125883,127314,87,121,199,-9034,-13332,-8580,W
3125965,126946,242,125,378,-10575,-14912,-9049,W
3126047,126878,240,18,-197,-8098,-9153,-10037,W
3126129,127036,280,-29,-99,-8149,-11342,-7900,W
3126226,127217,-220,-17,-203,-5168,-9146,-7843,W
3126308,127385,-83,-9,-22,-5615,-11001,-8010,W
3126390,127401,4,0,-52,-5846,-12233,-8838,W
3126472,127351,-15,36,-51,-8909,-14014,-9735,W
3126571,127220,294,-40,175,-10205,-15656,-9730,W
3126653,126991,-169,-94,-137,-8006,-11554,-8588,W
3126735,126983,-223,-50,-227,-7589,-11697,-6955,W
3126832,127321,-77,18,-166,-5787,-10100,-5775,W
3126914,127393,-363,1,6,-5857,-10936,-6625,W
3126996,127361,-81,54,145,-7589,-13303,-7249,W
3127078,127304,-56,100,216,-8853,-14058,-8979,W
3127175,127267,386,266,416,-9293,-14024,-8998,W
3127257,127098,569,-90,-1,-7292,-9964,-9565,W
3127339,126847,-67,-109,-3,-7077,-11512,-7275,W
3127421,127176,-108,-110,-82,-4935,-8937,-7862,W
3127503,127230,-93,-101,37,-5381,-11368,-8366,W
3127600,126974,-58,-33,-129,-6766,-13024,-8827,W
3127682,126942,-243,-65,-205,-10387,-14214,-8613,W
3127764,127067,-14,-33,194,-10121,-14315,-10041,W
3127846,126910,222,-244,-59,-8958,-11636,-8449,W
3127943,126528,-315,-149,-208,-7186,-10043,-6756,W
3128025,126740,-308,-9,-98,-6717,-9571,-6245,W
3128107,126868,-144,99,39,-7146,-10763,-6318,W
3128189,126894,-19,239,220,-7261,-11716,-7938,W
3128286,126648,176,285,146,-9025,-14148,-9608,W
3128368,126745,267,329,260,-10524,-14073,-9129,W
3128450,126954,142,-80,-83,-7577,-9482,-9264,W
3128532,126887,136,-146,-24,-6741,-10164,-8086,W
3128629,126627,-11,-86,-109,-5349,-9510,-8155,W
3128711,126649,-83,-49,-62,-6098,-11856,-8897,W
3128793,126812,83,-49,-212,-7066,-13220,-9240,W
3128875,126798,-30,17,-144,-9611,-14600,-8326,W
3128974,126717,23,-167,25,-9240,-13427,-9072,W
3129056,127070,-290,-206,43,-8343,-10658,-7934,W
3129138,127070,-156,-54,-67,-7622,-10039,-7050,W
3129235,126746,-63,1,-59,-6166,-10043,-6262,W
3129317,126751,-93,133,-66,-7092,-11924,-6584,W
3129399,126938,100,269,87,-8901,-13208,-7851,W
3129481,126987,629,169,168,-9708,-13813,-7902,W
3129578,126862,647,-29,237,-8497,-13309,-8655,W
3129660,127251,-153,71,131,-8827,-11706,-8541,W
3129742,127377,95,81,-91,-6430,-10608,-7654,W
3129824,127121,-337,181,-117,-5410,-9982,-7373,W
3129923,127180,-138,78,-18,-5446,-11471,-8124,W
3130005,127245,-184,69,-45,-7684,-13399,-8765,W
3130087,127060,134,84,89,-10568,-15559,-9401,W
3130184,126904,231,14,10,-8689,-14311,-9041,W
3130266,127432,-112,-124,-79,-7098,-10973,-7261,W
3130348,127353,-192,-192,-183,-6658,-11092,-5778,W
3130430,127036,-446,-153,-115,-6650,-10301,-5885,W
3130527,126916,-194,117,-95,-7616,-12269,-6263,W
3130609,127149,134,242,116,-8636,-12851,-7445,W
3130691,127043,13,109,301,-10811,-14241,-9284,W
3130773,126843,389,37,156,-7901,-13422,-9979,W
3130855,127214,-81,66,-103,-7691,-9860,-9272,W
3130952,127106,270,83,-234,-6739,-10452,-7955,W
3131034,127061,-69,-107,-105,-5574,-9353,-7989,W
3131116,126900,-70,-182,-32,-5953,-11509,-8269,W
3131198,127019,-22,-73,-64,-5258,-11430,-8996,W
3131295,127024,141,110,-86,-7732,-13634,-9314,W
3131377,127150,371,115,379,-11345,-15907,-10256,W
3131459,126707,446,180,-12,-9431,-12889,-8808,W
3131541,127201,-111,-3,127,-8802,-10825,-7482,W
3131638,126679,-1,83,91,-8176,-10634,-6791,W
3131720,126624,-79,295,183,-8458,-10839,-6526,W
3131802,126766,166,483,139,-7055,-11310,-6639,W
3131884,127007,170,582,294,-7757,-12902,-6936,W
3131981,126983,290,598,316,-8740,-13393,-8294,W
3132063,126991,344,484,587,-10158,-14205,-9005,W
3132145,127065,455,302,191,-7116,-9471,-9665,W
3132227,127053,254,245,214,-8893,-10861,-9624,W
3132326,126751,311,388,106,-7601,-10448,-9353,W
3132408,126917,417,418,187,-6731,-11483,-9001,W
3132490,127027,509,288,53,-6615,-12118,-8661,W
3132587,127074,350,212,-55,-8551,-12781,-7226,W
3132669,127171,181,372,106,-8927,-12198,-6998,W
3132751,127181,472,723,256,-8911,-13532,-6920,W
3132833,127028,543,989,241,-7128,-13223,-6882,W
3132930,127002,329,1031,325,-5991,-12722,-6822,W
3133012,127102,147,1000,397,-7174,-13889,-8005,W
3133094,127004,304,896,491,-5443,-13528,-8266,W
3133176,127163,269,657,333,-4339,-11888,-9135,W
3133275,127189,2,349,127,-4804,-12971,-9395,W
3133357,126907,-1,282,23,-4832,-12995,-9955,W
3133439,126940,-119,378,-72,-5704,-11748,-10468,W
3133536,126646,-6,404,-83,-5752,-11604,-10529,W
3133618,126594,211,270,-88,-5750,-12462,-10278,W
3133700,126882,27,154,100,-4964,-14167,-9562,W
3133782,126959,-79,146,-53,-3035,-12323,-9231,W
3133879,126996,25,306,93,-3065,-13782,-9341,W
3133961,126991,-214,437,149,-2692,-11983,-9073,W
3134043,127008,-14,535,321,-2825,-11584,-9997,W
3134125,126644,56,682,388,-2910,-12096,-11333,W
3134224,126592,-27,584,485,-3528,-12857,-11943,W
3134306,126804,-92,346,403,-4014,-12809,-10995,W
3134388,127029,244,298,602,-7187,-14808,-7929,W
3134485,127231,195,268,610,-4883,-12848,-10382,W
3134567,127025,383,381,383,-4211,-12431,-10554,W
3134649,127054,-52,413,111,-3336,-9832,-9902,W
3134731,127108,225,250,117,-4427,-11692,-10066,W
3134828,126675,-122,23,-147,-3811,-12792,-10772,W
3134910,126822,-431,-9,-53,-3942,-13326,-10384,W
3134992,126846,308,-152,108,-1627,-11767,-12131,W
3135074,127045,-636,92,324,-2540,-13456,-13019,W
3135173,126966,-480,287,63,-2892,-9847,-12555,W
3135255,127222,-257,238,247,-3017,-9458,-11741,W
3135337,127408,-496,361,184,-3289,-10671,-11622,W
3135434,127389,-169,322,74,-3578,-10915,-11319,W
3135516,127337,133,115,173,-6270,-11364,-13322,W
3135598,127196,396,-130,131,-5032,-10748,-13058,W
3135680,127079,540,-29,404,-4988,-10775,-12425,W
3135777,127357,2,35,288,-4628,-8987,-10577,W
3135859,127321,104,192,-173,-3053,-8926,-10870,W
3135941,127163,18,361,-244,-3850,-9573,-12478,W
3136023,127178,289,278,-282,-6007,-12155,-13255,W
3136122,126913,328,371,-56,-6919,-12983,-11955,W
3136204,127124,100,25,772,-6646,-12380,-12816,W
3136286,126868,122,282,648,-1843,-7960,-11044,W
3136383,127236,94,465,373,-3002,-8333,-9324,W
3136465,127332,-157,432,397,-3885,-10747,-10119,W
3136547,127102,158,450,374,-3991,-13160,-10896,W
3136629,127218,-115,355,470,-4385,-12249,-14142,W
3136726,127199,625,-72,881,-6877,-11906,-11245,W
3136808,126934,486,-96,993,-7176,-11962,-10877,W
3136890,127039,491,255,533,-4764,-10740,-10275,W
3136972,126922,201,498,-142,-3005,-9887,-8958,W
3137071,127026,23,334,-158,-4616,-11738,-10067,W
3137153,126975,100,136,-157,-5621,-13012,-11957,W
3137235,127053,360,-18,380,-8962,-14841,-12709,W
3137332,126830,163,-26,512,-6147,-11870,-11816,W
3137414,126704,283,54,500,-4733,-11770,-8825,W
3137496,126899,-44,173,40,-3622,-9528,-8182,W
3137578,127048,-185,178,19,-4552,-10450,-8406,W
3137675,126730,-31,328,104,-6733,-13087,-9845,W
3137757,126924,205,374,241,-7497,-13621,-11381,W
3137839,127252,446,-7,638,-7303,-13444,-11837,W
3137921,126757,321,16,101,-6740,-10845,-11559,W
3138020,126511,262,77,-7,-5784,-10397,-9889,W
3138102,126779,71,140,-173,-3389,-9169,-8846,W
3138184,126886,84,46,-158,-3738,-10325,-9431,W
3138281,126809,191,-1,-283,-5097,-13008,-10249,W
3138363,126793,135,24,-192,-7510,-15504,-9862,W
3138445,127102,405,-295,366,-8165,-15792,-10847,W
3138527,127111,-232,-212,217,-5742,-12091,-9339,W
3138624,126886,175,-104,-47,-5426,-10944,-7659,W
3138706,127140,-169,-1,-182,-4141,-9964,-6460,W
3138788,127242,-226,2,-89,-5382,-12514,-7345,W
3138870,127072,-142,90,-14,-6678,-14658,-8506,W
3138969,126962,-163,272,47,-6686,-14476,-11119,W
3139051,127323,632,82,380,-9210,-15148,-8898,W
3139133,127605,-216,-130,-114,-7067,-11457,-9804,W
3139230,128021,-61,96,-401,-4569,-9742,-8443,W
3139312,128331,17,173,-423,-3563,-10224,-7830,W
3139394,128501,-8,39,-334,-3216,-11187,-8944,W
3139476,128515,-115,78,-334,-3481,-12825,-10422,W
3139573,128419,420,-61,-174,-5661,-15991,-9215,W
3139655,128269,-104,-172,253,-5944,-15890,-10523,W
3139737,128333,-237,-118,220,-5334,-12896,-9193,W
3139819,127948,154,95,0,-4608,-12595,-7046,W
3139918,127863,175,197,-267,-2723,-10301,-6261,W
3140000,128044,-224,79,-70,-3877,-12058,-7856,W
3140082,127974,-126,-31,162,-5258,-14536,-9176,W
3140179,127811,-464,111,429,-5161,-14025,-11689,W
3140261,127755,510,275,583,-6927,-15855,-9894,W
3140343,127873,439,54,90,-5611,-11073,-10011,W
3140425,127829,160,-100,8,-4785,-11279,-7981,W
3140522,127678,-199,-78,-77,-2953,-10532,-8933,W
3140604,127627,-81,-4,-88,-2798,-12107,-9861,W
3140686,127612,-74,72,-220,-3590,-13725,-10369,W
3140768,127683,25,-6,-27,-6947,-16035,-9821,W
3140867,127519,-98,-252,60,-6364,-14785,-9341,W
3140949,127841,-369,-194,-143,-5163,-12312,-8068,W
3141031,127647,157,98,-318,-4155,-11451,-7021,W
3141128,127367,47,80,-233,-3412,-10252,-6880,W
3141210,127317,-155,16,-118,-3602,-12255,-7527,W
3141292,127467,-26,28,129,-6109,-15319,-9104,W
3141374,127419,15,109,432,-8203,-15990,-10381,W
3141471,127221,716,91,83,-5642,-13204,-10111,W
3141553,127645,-186,122,181,-5360,-11261,-8898,W
3141635,127640,302,153,-94,-2895,-9753,-7443,W
3141717,127541,-53,62,25,-2491,-10652,-7133,W
3141816,127327,44,-119,-21,-2708,-13982,-9056,W
3141898,127443,-82,-127,-63,-6032,-16007,-11303,W
3141980,127540,316,-156,238,-7185,-18932,-11331,W
3142077,127504,-84,-119,-142,-6387,-15027,-8421,W
3142159,127711,-328,-64,-290,-4975,-12189,-6909,W
3142241,127773,-88,53,-392,-3564,-9995,-6616,W
3142323,127450,-227,105,-161,-3615,-11166,-6788,W
3142420,127304,-132,35,39,-5001,-13566,-7643,W
3142502,127475,-168,-2,343,-7435,-14912,-9612,W
3142584,127342,604,-1,451,-7516,-15885,-9323,W
3142666,127527,467,50,187,-6105,-11164,-10674,W
3142765,127334,297,52,44,-4068,-11573,-7518,W
3142847,127644,-50,79,95,-2366,-9299,-7616,W
3142929,127446,22,5,175,-2968,-12887,-8144,W
3143026,127256,-113,-24,24,-4884,-15712,-9905,W
3143108,127216,154,8,80,-7525,-18253,-9783,W
3143190,127229,117,42,-31,-7103,-15886,-9062,W
3143272,127594,-405,-105,-192,-6490,-12308,-6991,W
3143369,127576,-116,55,-350,-4369,-10599,-6206,W
3143451,127765,-70,113,-209,-3919,-10322,-6463,W
3143533,127654,-76,151,-115,-4493,-13045,-6982,W
3143615,127395,-166,91,170,-6550,-14920,-8624,W
3143714,127370,120,-7,639,-8274,-17475,-11436,W
3143796,127059,384,78,-56,-5342,-11494,-11112,W
3143878,127299,122,311,195,-6380,-13440,-8354,W
3143975,127574,255,221,-200,-1736,-8467,-7651,W
3144057,127623,-305,-10,41,-2651,-12160,-8013,W
3144139,127453,-150,-61,-147,-3017,-14425,-9800,W
3144221,127287,-175,-1,-42,-6995,-16374,-10464,W
3144318,127158,140,-114,-69,-6697,-16906,-8991,W
3144400,127826,-79,-238,-207,-4124,-11721,-7504,W
3144482,127711,-198,-135,-308,-4154,-11780,-5984,W
3144564,127796,-183,-51,-252,-3404,-10850,-5940,W
3144663,127838,-124,40,-102,-4009,-13197,-6514,W
3144745,127828,100,30,64,-4858,-14546,-7338,W
3144827,127395,-247,25,278,-6332,-14005,-9823,W
3144924,127264,520,-162,488,-6390,-15013,-8997,W
3145006,127458,-270,-81,104,-5974,-11824,-9562,W
3145088,127476,269,-11,-23,-4639,-12031,-7494,W
3145170,127607,57,48,-78,-3681,-10551,-7741,W
3145267,127705,-43,59,-84,-3776,-11795,-8021,W
3145349,127765,10,45,-41,-3896,-13204,-8740,W
3145431,127573,90,64,130,-6623,-15889,-9068,W
3145513,127414,142,-17,381,-8403,-17167,-9378,W
3145612,127627,-116,-168,30,-5759,-12489,-8173,W
3145694,127424,-14,-37,-176,-5333,-12323,-6720,W
3145776,127652,-153,-72,-53,-5032,-9997,-6283,W
3145873,127623,-296,-70,1,-5204,-12622,-6632,W
3145955,127522,-122,155,103,-5849,-13829,-7586,W
3146037,127351,75,337,209,-7280,-14317,-9695,W
3146119,127251,515,186,516,-8619,-15996,-9655,W
3146216,127321,-98,-190,-88,-6176,-10396,-9873,W
3146298,127316,170,-147,-164,-5255,-11924,-6693,W
3146380,127437,-85,-58,-88,-3748,-9917,-7101,W
3146462,127352,14,-123,2,-4463,-12342,-8209,W
3146561,127370,-6,-84,-187,-4757,-13366,-8596,W
3146643,127470,-127,-8,-185,-7451,-15394,-8827,W
3146725,127330,73,-200,271,-9375,-17093,-10355,W
3146822,127310,19,-368,-140,-5842,-11664,-6975,W
3146904,127228,-400,-295,-105,-6999,-13434,-5773,W
