time_ms,ir,ax,ay,az,gx,gy,gz,label
4273181,115033,-149,473,-165,-4566,-5944,-13410,W
4273278,114963,109,257,-80,-4646,-7816,-14105,W
4273360,114767,76,103,-230,-3338,-6322,-13548,W
4273442,114794,152,-77,-175,-3768,-7429,-14729,W
4273524,114571,319,-2,-182,-4700,-9025,-14936,W
4273621,114567,313,-75,-139,-4885,-9321,-14447,W
4273703,114150,126,144,-306,-4380,-9017,-13194,W
4273785,114265,89,74,-249,-4610,-10636,-13496,W
4273867,114293,152,170,-323,-4533,-9989,-13173,W
4273966,114449,3,239,-338,-2759,-8850,-12124,W
4274048,114520,-48,118,-166,-2180,-9689,-12209,W
4274130,114539,-50,72,-21,-1425,-9354,-12353,W
4274227,114631,-203,28,95,-932,-9745,-13970,W
4274309,114553,-166,28,376,-1961,-10700,-15363,W
4274391,114406,185,-351,678,-4494,-10770,-15760,W
4274473,114452,-249,172,106,-2246,-5469,-12839,W
4274570,114626,-361,6,207,-4853,-9009,-13961,W
4274652,114379,-66,154,32,-3997,-7802,-13572,W
4274734,114643,-53,44,42,-2371,-7451,-12874,W
4274816,114595,228,25,57,-2620,-8132,-13740,W
4274915,114636,258,-89,-144,-1767,-7247,-13419,W
4274997,114645,241,-175,-268,-2199,-8029,-15017,W
4275079,114392,385,-25,-229,-2968,-10007,-15113,W
4275176,114299,547,92,-45,-3827,-10967,-13951,W
4275258,114483,349,269,-224,-2635,-8458,-11709,W
4275340,114512,-200,-111,5,-4391,-11761,-13615,W
4275422,114296,93,239,-126,-2834,-11298,-12639,W
4275519,114690,21,286,-61,-1235,-9641,-11074,W
4275601,114668,-206,86,-59,-1826,-10552,-12679,W
4275683,114458,-366,81,-126,-406,-9670,-13186,W
4275765,114486,-581,188,-24,-374,-10143,-14019,W
4275864,114562,-251,-199,426,-2619,-10744,-15834,W
4275946,114459,-330,59,158,-2325,-8025,-14370,W
4276028,114632,-277,227,104,-1933,-7291,-13500,W
4276125,114600,86,143,161,-2204,-8465,-14371,W
4276207,114640,216,81,-19,-1139,-7624,-13858,W
4276289,114730,222,-50,-140,-462,-6891,-13039,W
4276371,114514,219,-167,-230,-354,-6758,-13740,W
4276468,114459,249,-165,-255,-975,-9255,-15274,W
4276550,114348,389,-46,-289,-1795,-10890,-14574,W
4276632,114457,375,-209,-206,-1610,-10358,-14394,W
4276714,114275,391,-90,-313,-1722,-9619,-13565,W
4276813,114387,18,-93,-231,-1006,-11583,-12678,W
4276895,114385,288,20,-137,-1742,-11874,-12123,W
4276977,114455,246,-19,-108,-95,-9070,-11606,W
4277074,114306,-189,-64,40,89,-10822,-12549,W
4277156,114291,-397,-20,-47,1155,-10049,-12712,W
4277238,114361,-785,-147,-71,565,-10190,-13515,W
4277320,114312,-774,-365,134,-803,-10527,-15483,W
4277417,114266,-456,-402,197,-1866,-8555,-14703,W
4277499,114250,-536,-182,127,-1712,-7059,-13635,W
4277581,114328,-136,-136,227,-2619,-7781,-13924,W
4277663,114208,158,27,68,-3161,-7583,-14539,W
4277762,114165,132,37,-91,-2944,-7088,-14748,W
4277844,114156,45,-137,-231,-2298,-6670,-14285,W
4277926,113936,313,-267,-311,-2456,-7113,-14137,W
4278023,113920,693,-328,-435,-2176,-7092,-14528,W
4278105,113856,273,-146,-574,-2295,-8652,-14791,W
4278187,113773,475,-276,-262,-4543,-11544,-14834,W
4278269,113791,696,-113,-301,-2383,-9471,-13131,W
4278366,113889,431,-140,-51,-2703,-11298,-12053,W
4278448,113850,621,-162,-73,-2375,-12546,-11421,W
4278530,113830,990,-101,55,-3546,-13296,-11171,W
4278612,113932,772,205,0,-2317,-12321,-9287,W
4278711,113831,497,181,147,-1351,-13584,-8589,W
4278793,113867,64,284,224,-1411,-13760,-8126,W
4278874,113877,119,331,220,-1147,-13851,-8486,W
4278956,113896,233,349,317,-2573,-15071,-8389,W
4279053,113954,237,171,918,-5547,-16232,-8205,W
4279135,113761,896,153,776,-4901,-13298,-7194,W
4279217,113969,159,310,495,-3866,-11840,-6799,W
4279298,113914,292,336,569,-5778,-15444,-6457,W
4279380,114020,787,-35,283,-4281,-13057,-6515,W
4279477,114033,245,-122,376,-5527,-14517,-6572,W
4279559,113944,586,-301,307,-5840,-13408,-5526,W
4279641,114110,191,-530,465,-6260,-12854,-3792,W
4279723,114045,278,-702,442,-8528,-14497,-3687,W
4279820,113984,599,-472,768,-11533,-16273,-2207,W
4279902,113808,673,-316,327,-11269,-14044,-819,W
4279984,114005,6,-358,143,-10648,-13414,-184,W
4280065,113954,-192,-220,-15,-12231,-14023,482,W
4280147,113782,111,-90,-331,-9997,-12668,-171,W
4280244,113859,7,52,-199,-8588,-12508,-204,W
4280326,113740,159,216,-155,-8311,-13848,-353,W
4280408,113894,-75,282,-276,-7790,-13462,-140,W
4280490,113990,138,263,-310,-8231,-14546,-209,W
4280587,114076,297,337,184,-10109,-17414,728,W
4280669,113891,813,505,-213,-9500,-13413,-354,W
4280751,114258,-192,133,-311,-7134,-11352,122,W
4280833,114163,305,260,-104,-9685,-14816,891,W
4280932,114298,-38,-44,-214,-7145,-13105,-561,W
4281014,114302,52,-211,65,-7018,-13840,-889,W
4281095,114209,-107,-375,5,-7205,-14594,-958,W
4281177,114257,-546,-457,-83,-6811,-14588,-423,W
4281274,114217,219,-410,404,-11250,-20650,1509,W
4281355,114024,619,-266,-244,-8118,-12657,1,W
4281437,114259,-174,-319,32,-7765,-12076,1689,W
4281519,114263,-182,-144,78,-10756,-15128,2711,W
4281601,114302,35,55,15,-7025,-12961,1702,W
4281698,114387,-59,143,170,-6952,-14350,1468,W
4281780,114236,-143,237,77,-7156,-15237,1172,W
4281862,114136,-133,301,16,-5994,-14661,1047,W
4281944,114049,-10,430,-125,-7469,-15872,617,W
4282041,114048,270,729,324,-10442,-18922,953,W
4282122,113909,1630,527,-329,-8857,-12830,-1495,W
4282204,114381,-851,301,43,-6863,-12621,588,W
4282286,114050,526,198,-74,-9819,-16197,1654,W
4282368,114294,-298,-258,-89,-6508,-12434,-167,W
4282465,114060,-315,-311,38,-7416,-14676,-52,W
4282547,113927,-87,-378,-62,-6850,-13995,-503,W
4282629,113929,-273,-529,-107,-7347,-15268,184,W
4282711,113915,-136,-533,-136,-8621,-16918,1201,W
4282808,113933,281,-396,-159,-8776,-14542,1575,W
4282890,114104,-114,-455,-192,-6199,-11853,1396,W
4282972,114081,-59,-241,196,-8620,-15106,2823,W
4283054,113895,16,-107,-105,-8887,-14872,1854,W
4283153,114119,-120,29,59,-5462,-13000,1512,W
4283235,114122,-66,215,138,-6425,-15613,1604,W
4283316,113952,33,340,-102,-5877,-15796,1109,W
4283398,113966,56,468,-237,-5688,-15623,931,W
4283495,114044,194,487,-171,-7294,-16437,1195,W
4283577,113916,1155,825,98,-9671,-17392,2821,W
4283659,114482,13,191,-256,-3986,-8975,751,W
4283741,114381,122,324,199,-8995,-17880,3031,W
4283838,114456,205,-115,-67,-5009,-12255,978,W
4283919,114471,-576,-240,304,-6246,-14674,1399,W
4284001,114222,134,-395,-41,-6791,-15341,1277,W
4284083,114367,-212,-478,-183,-6306,-15463,1197,W
4284165,114341,-59,-419,-316,-7458,-16574,2598,W
4284262,114275,473,-281,-102,-8485,-14206,3226,W
4284344,114362,-111,-301,128,-5619,-11955,2926,W
4284426,114246,78,-224,366,-8553,-15948,4771,W
4284507,114154,5,-222,35,-7621,-14336,3556,W
4284589,114225,-173,-176,137,-4963,-12229,2700,W
4284686,113977,-299,-15,233,-5950,-15369,3286,W
4284768,113959,-186,87,127,-5842,-15656,3144,W
4284850,113924,-14,134,-42,-6090,-15857,2888,W
4284932,113965,42,188,-121,-7591,-16029,2834,W
4285029,113782,64,784,251,-9736,-17008,3953,W
4285111,113864,768,399,-359,-6771,-11409,1197,W
4285193,114006,-600,521,-41,-6999,-13913,2802,W
4285275,113967,475,336,-159,-7744,-15028,2939,W
4285374,113980,-184,-253,10,-6907,-14475,1767,W
4285456,113782,-82,-470,109,-6428,-14069,1420,W
4285538,113927,-224,-632,101,-6178,-14285,1303,W
4285635,113963,-268,-675,55,-6382,-15337,2030,W
4285717,113935,-55,-663,-55,-7678,-16121,3295,W
4285799,113913,-88,-419,37,-8086,-15755,3115,W
4285881,113922,-111,-188,28,-6484,-13941,2142,W
4285978,113979,252,-140,86,-6999,-13775,2457,W
4286060,114010,-120,-50,259,-7635,-15641,3915,W
4286142,113845,-189,-21,180,-6788,-14621,3414,W
4286224,113798,-215,70,59,-6362,-14601,3294,W
4286323,113819,-114,232,3,-5657,-13945,2505,W
4286405,113971,18,325,55,-5105,-14282,1949,W
4286487,113974,224,283,78,-6429,-15074,2240,W
4286584,114044,907,199,243,-8258,-16216,3406,W
4286666,114146,765,723,511,-10516,-16282,5241,W
4286747,114205,605,63,-202,-6936,-10131,1600,W
4286829,114288,-461,200,-159,-8946,-13450,3141,W
4286911,114055,56,185,-429,-9112,-14517,3053,W
4287008,114222,-192,-86,-256,-6943,-12712,1906,W
4287090,114089,28,-103,-117,-7127,-13692,2079,W
4287172,114180,-101,-315,-91,-6559,-13884,1873,W
4287254,114208,-516,-386,35,-7828,-15323,2484,W
4287351,114146,-56,-227,270,-8971,-17749,3587,W
4287433,114141,500,-337,-176,-6623,-13307,2482,W
4287515,114345,-23,-391,178,-6970,-13629,3385,W
4287597,114123,-419,-190,123,-9234,-15711,4682,W
4287696,114103,-251,-125,-47,-6054,-12633,3495,W
4287778,114246,-71,-24,44,-5418,-13504,3494,W
4287860,114332,93,70,71,-6132,-15043,3717,W
4287957,114411,91,103,-81,-6073,-15231,3542,W
4288039,114346,54,247,-113,-7500,-15272,3666,W
4288121,114457,614,606,351,-10510,-18961,5962,W
4288203,114403,665,315,-365,-7213,-12213,868,W
4288300,114431,-93,315,-201,-7505,-13385,3002,W
4288382,114013,96,222,-201,-8279,-13768,3072,W
4288464,114150,-14,-58,19,-6389,-12819,2305,W
4288546,113974,89,-159,203,-6954,-14595,2794,W
4288645,114081,-36,-461,31,-5986,-14385,2393,W
4288727,114066,-240,-527,30,-6786,-15495,3205,W
4288809,114037,-83,-174,284,-9324,-18214,5576,W
4288906,114135,308,-395,-60,-5912,-11224,3927,W
4288988,114221,-376,-398,168,-7795,-13313,5775,W
4289070,113981,-288,-262,117,-8686,-14403,6121,W
4289152,113847,-194,-273,10,-6790,-13089,4571,W
4289249,113937,-93,-121,149,-5991,-13461,3990,W
4289331,113904,-76,-40,123,-5901,-15055,4107,W
4289413,113965,-64,-42,7,-5074,-14889,3536,W
4289495,113966,76,3,-24,-5128,-14788,3432,W
4289594,114008,119,310,2,-7692,-15452,4063,W
4289676,113979,127,486,80,-10029,-14751,5424,W
4289758,114140,-290,-27,-384,-5575,-10903,4569,W
4289855,113713,393,280,-348,-8494,-14288,3707,W
4289937,113747,127,212,-65,-7416,-13660,2312,W
4290019,113744,251,256,-41,-7242,-13629,3660,W
4290101,113858,343,160,-3,-5611,-13389,3834,W
4290198,113933,-332,-207,165,-5882,-15974,3950,W
4290280,113778,-95,-151,-109,-6983,-16219,4262,W
4290362,113896,81,55,-1,-8278,-15918,5920,W
4290444,114029,-38,-373,-337,-5043,-10834,4559,W
4290543,113950,-158,-146,298,-8727,-15344,6285,W
4290625,113735,-111,-210,23,-6884,-14093,4410,W
4290707,113757,19,-70,123,-4824,-12722,3995,W
4290804,113837,-67,4,125,-5503,-14533,4822,W
4290886,113841,-21,-27,-20,-5163,-14754,4032,W
4290968,113801,-145,117,-36,-7139,-15863,4250,W
4291050,113743,375,498,374,-9024,-18796,6443,W
4291131,113654,683,375,-200,-7952,-12297,1528,W
4291228,113812,-297,402,-15,-7870,-13363,3350,W
4291310,113609,157,378,-209,-9383,-15468,3616,W
4291392,113612,59,-30,-135,-5564,-12338,2753,W
4291474,113609,-210,13,42,-6965,-14490,2547,W
4291571,113537,119,-114,-83,-5998,-13885,2297,W
4291653,113628,-361,-242,41,-6356,-15049,2757,W
4291735,113587,-451,-266,85,-7752,-17373,3200,W
4291817,113619,232,-333,149,-7909,-15609,4070,W
4291916,113682,74,-558,1,-5958,-12374,3423,W
4291998,113815,-252,-533,393,-7602,-14644,4845,W
4292080,113501,-244,-438,25,-8377,-15311,4356,W
4292177,113566,-136,-348,113,-5324,-12065,3813,W
4292259,113645,-70,-223,206,-5780,-14480,4114,W
4292341,113651,175,-96,-72,-5987,-15109,4483,W
4292423,113751,176,336,-61,-7846,-15424,4908,W
4292520,113739,682,858,194,-9615,-15185,6407,W
4292602,113907,52,155,-249,-7011,-10676,4055,W
4292684,113800,-308,249,-171,-8865,-13514,4596,W
4292766,113759,1,242,-135,-7901,-13419,3332,W
4292865,113499,10,24,-29,-6563,-13585,2623,W
4292947,113549,85,-161,-117,-5705,-13446,2639,W
4293029,113675,-354,-468,-172,-7171,-15025,3450,W
4293126,113633,88,-118,277,-9715,-17886,6138,W
4293208,113624,736,-230,-231,-5412,-11630,3762,W
4293290,113912,-164,-224,295,-5179,-13474,6018,W
4293372,113637,-649,-195,116,-8318,-15217,6270,W
4293469,113631,-255,-306,-197,-5272,-12504,5155,W
4293551,113648,-64,-220,-24,-5218,-13845,4872,W
4293633,113568,-144,-176,-112,-5811,-15384,4333,W
4293715,113563,-183,-31,-233,-4892,-15149,3661,W
4293814,113653,190,281,-217,-5713,-15069,3662,W
4293896,113615,522,982,267,-8669,-16638,7867,W
4293978,113910,111,-11,-418,-5661,-10808,4174,W
4294075,113750,-196,366,-10,-7071,-14832,4676,W
4294157,113662,258,233,-46,-5760,-13772,3732,W
4294239,113679,-47,-35,112,-5669,-14286,3146,W
4294321,113468,-48,-163,0,-5911,-15355,3384,W
4294418,113561,-141,-345,-243,-5460,-15125,4037,W
4294500,113540,147,-268,189,-6899,-18259,5404,W
4294582,113513,377,-435,-137,-5596,-13126,2691,W
4294664,113667,-499,-523,144,-4309,-13340,5512,W
4294763,113554,-521,-178,-1,-6438,-16959,5360,W
4294845,113489,-31,-68,-227,-4280,-13199,3822,W
4294927,113628,52,131,103,-3434,-13782,4071,W
4295024,113519,-32,168,8,-4204,-15907,3654,W
4295106,113418,-80,166,-41,-2989,-14711,3612,W
4295188,113462,-43,287,52,-4463,-15795,4281,W
4295270,113421,-136,540,457,-8504,-18977,6476,W
4295367,113475,202,308,-114,-5576,-10905,2685,W
4295449,113647,-257,223,206,-6270,-14587,3869,W
4295531,113483,450,319,-24,-7963,-16134,3481,W
4295613,113656,133,-70,40,-5156,-12813,2206,W
4295710,113570,-80,-144,203,-6261,-14969,2826,W
4295792,113434,60,-242,3,-5881,-14836,2299,W
4295874,113446,-210,-388,-16,-6407,-15853,2874,W
4295956,113449,-208,-355,111,-7106,-16910,4225,W
4296055,113406,318,-354,-144,-6759,-13725,3755,W
4296137,113500,-259,-452,-9,-5490,-12523,4376,W
4296219,113465,-230,-117,280,-8151,-15634,6783,W
4296316,113369,207,-141,-24,-6326,-12988,4196,W
4296398,113357,204,106,43,-5703,-13755,3486,W
4296480,113419,128,233,116,-6431,-15128,3879,W
4296562,113212,238,254,-21,-6046,-14954,3662,W
4296659,113365,209,385,83,-6968,-15351,4715,W
4296741,113377,275,683,374,-9451,-16874,6626,W
4296823,113361,252,245,-159,-5223,-11365,2869,W
4296905,113417,-273,148,-34,-7131,-12464,3840,W
4297004,113259,4,166,-99,-10493,-15583,3148,W
4297086,113274,-301,-171,-88,-7243,-12243,1922,W
4297168,113220,-39,-32,13,-7910,-13402,2846,W
4297265,113066,9,-216,-47,-7601,-13803,2727,W
4297347,113098,-172,-323,-101,-8304,-14696,3029,W
4297429,113077,67,-149,-92,-7844,-15127,4077,W
4297511,113172,304,-197,-185,-6318,-13600,3858,W
4297608,113247,70,-178,92,-7117,-14186,4989,W
4297690,113293,10,-336,46,-7062,-13379,5088,W
4297772,113231,-66,-313,154,-6743,-13195,5710,W
4297854,113298,-95,-196,448,-7494,-13625,6071,W
4297953,113080,-322,-324,398,-8771,-13756,5026,W
4298035,113012,-651,-230,647,-8188,-13889,5768,W
4298117,113070,-361,-380,556,-8207,-13237,4870,W
4298214,113126,-429,-521,475,-8422,-12852,3740,W
4298296,113138,-409,-308,443,-10150,-14237,5670,W
4298378,113272,-321,-634,74,-9233,-11612,2662,W
4298460,113251,-543,-336,261,-10150,-12649,3343,W
4298557,113084,-745,-460,137,-9469,-12656,2638,W
4298639,112855,-193,-476,-25,-9340,-13440,2439,W
4298721,112938,-163,-695,-56,-8296,-12600,1946,W
4298803,112985,-271,-866,36,-8808,-13599,2580,W
4298902,112956,-541,-1103,124,-9547,-14102,3708,W
4298984,113011,-680,-1150,130,-9467,-13284,3879,W
4299066,113044,-961,-1053,141,-8775,-12822,4045,W
4299163,113076,-331,-872,35,-7998,-13002,3658,W
4299245,113033,-452,-888,191,-7464,-13758,4171,W
4299327,112954,-399,-945,169,-7160,-13983,4682,W
4299409,113033,-477,-1064,257,-6762,-13988,4878,W
4299506,113089,-445,-1169,275,-6880,-14270,4997,W
4299588,113056,-343,-1115,346,-7245,-14562,5566,W
4299670,113092,-271,-1024,481,-7326,-14288,6067,W
4299752,113105,-492,-944,458,-7917,-14161,5868,W
4299849,113101,-445,-621,372,-7086,-13333,5227,W
4299931,113130,-361,-413,374,-7078,-13275,5567,W
4300013,112951,-246,-400,305,-7874,-13580,5848,W
4300095,112997,-21,-476,338,-6937,-12542,5701,W
4300177,113047,-449,-380,512,-9553,-14161,6781,W
4300274,113018,-320,-550,255,-7956,-11877,4798,W
4300356,113020,-299,-314,257,-9309,-12975,4349,W
4300438,113059,-304,-209,267,-8571,-12541,4706,W
4300520,113085,-184,-205,325,-8826,-12918,4940,W
4300617,113076,-316,-192,236,-8728,-12487,4172,W
4300699,113016,-173,-143,153,-9280,-12730,4652,W
4300781,112826,-337,-271,87,-9571,-12837,4554,W
4300863,112844,-346,-306,31,-10062,-12846,4062,W
4300960,112844,-314,-253,29,-10013,-12774,4169,W
4301042,112778,-207,-226,-10,-10201,-13293,4542,W
4301124,112820,-300,-350,66,-8897,-12207,3719,W
