time_ms,ir,ax,ay,az,gx,gy,gz,label
4095956,113544,-65,-8,42,-3603,-15851,2745,R
4096038,113609,-15,-5,1,-3189,-15902,2583,R
4096120,113670,-1,17,20,-3427,-15846,2381,R
4096202,113722,-13,16,5,-3413,-16092,2860,R
4096299,113740,-12,-6,-12,-3601,-16003,2630,R
4096381,113861,16,3,-3,-3424,-15910,2571,R
4096463,113799,13,5,-20,-3335,-16017,2579,R
4096545,113354,-10,-14,-11,-3344,-15840,2705,R
4096642,113476,-17,-11,9,-3470,-16190,2422,R
4096724,113545,63,4,-27,-3238,-15875,2705,R
4096806,113615,-30,0,-1,-3432,-16012,2475,R
4096888,113642,-21,4,17,-3524,-15999,2636,R
4096985,113698,0,-1,-4,-3382,-15949,2384,R
4097067,113752,-3,1,-6,-3373,-15886,2511,R
4097149,113767,-12,-9,5,-3293,-15910,2544,R
4097231,113779,15,0,1,-3250,-16007,2511,R
4097328,113410,-19,-10,27,-3313,-15971,2646,R
4097410,113513,-9,-1,-7,-3342,-15978,2485,R
4097492,113572,-23,-8,14,-3514,-15930,2585,R
4097574,113575,35,-2,-10,-3242,-16022,2685,R
4097673,113637,-37,-16,0,-3618,-15834,2432,R
4097755,113677,-20,0,4,-3482,-16144,2506,R
4097837,113728,15,-3,-1,-3394,-16140,2544,R
4097934,113775,7,5,-20,-3447,-15981,2518,R
4098016,113541,-4,-6,2,-3331,-16059,2637,R
4098098,113452,-3,-10,-2,-3386,-16036,2420,R
4098180,113546,-6,-14,0,-3453,-15989,2416,R
4098277,113611,5,-3,1,-3437,-16075,2402,R
4098359,113636,-20,-5,4,-3410,-15918,2494,R
4098441,113681,17,-2,-3,-3004,-15940,2643,R
4098523,113748,-38,-13,31,-3525,-15974,2567,R
4098622,113711,-7,1,1,-3278,-15959,2396,R
4098704,113731,14,3,6,-3318,-16026,2791,R
4098786,113363,-15,-10,-4,-3310,-15851,2437,R
4098883,113452,25,-1,-12,-3335,-16067,2314,R
4098965,113555,-3,1,7,-3447,-15869,2478,R
4099047,113590,6,-3,-12,-3220,-15920,2583,R
4099129,113591,10,7,-1,-3320,-16136,2519,R
4099226,113713,-4,-6,-3,-3399,-15997,2567,R
4099308,113746,-6,-8,1,-3285,-15921,2552,R
4099390,113706,3,-11,3,-3454,-15927,2676,R
4099472,113575,-17,-20,-1,-3253,-15955,2657,R
4099569,113487,-3,4,-7,-3318,-16019,2544,R
4099651,113487,-14,-24,-4,-3525,-15825,2449,R
4099733,113525,-17,-25,-13,-3213,-16041,2587,R
4099815,113538,28,-4,-5,-3231,-16019,2642,R
4099914,113397,0,-30,0,-3343,-15934,2467,R
4099996,113437,-23,-3,0,-3247,-15859,2701,R
4100078,113423,13,3,-16,-3289,-16015,2448,R
4100175,113313,23,0,-6,-3311,-15922,2770,R
4100257,113117,1,6,-6,-3197,-15991,2620,R
4100339,113114,27,12,-13,-3207,-15968,2747,R
4100421,113124,0,-9,8,-3218,-16003,2831,R
4100518,113129,23,1,-10,-3221,-15969,2759,R
4100600,113138,7,4,2,-3183,-15928,2848,R
4100682,113185,-3,-7,8,-3317,-15975,2756,R
4100764,113202,3,-1,10,-3429,-16079,2588,R
4100863,113204,3,1,-10,-3144,-15915,2915,R
4100945,113208,5,-1,-7,-3375,-15974,2812,R
4101027,113085,-7,-14,10,-3446,-15901,2818,R
4101124,113089,17,-4,-11,-3260,-15926,2700,R
4101206,113062,9,2,-8,-3152,-15981,2997,R
4101288,113160,1,-3,-9,-3203,-16033,2844,R
4101370,113152,1,1,2,-3156,-15951,2822,R
4101467,113173,7,-4,1,-3309,-15983,2781,R
4101549,113246,3,-7,12,-3274,-15977,2666,R
4101631,113232,5,-5,4,-3160,-16102,2714,R
