time_ms,ir,ax,ay,az,gx,gy,gz,label
4456360,110176,399,1462,1165,-2268,-13054,13860,M
4456442,110098,2602,1823,1920,-6283,-7381,6943,M
4456524,110192,799,2050,1309,-8794,-9554,6328,M
4456621,110196,1019,664,-155,-7015,-11073,8930,M
4456703,110349,-618,248,-238,-10699,-15451,15044,M
4456785,110300,-44,-375,-515,-9004,-15430,12895,M
4456867,110235,-331,-1037,-670,-7372,-11376,8449,M
4456964,110255,-561,-1976,-1419,-7643,-7799,6595,M
4457046,110210,-368,-2166,-1484,-7194,-7741,7922,M
4457128,110283,-265,-595,-48,-3571,-11285,13498,M
4457210,110254,549,1622,1276,-2462,-10556,10551,M
4457309,110399,1364,2693,1597,-9070,-9260,12661,M
4457391,110511,775,1443,614,-8365,-9334,11345,M
4457473,110561,1047,843,-135,-7890,-10663,13228,M
4457570,110648,-1296,-185,-203,-12702,-16119,15658,M
4457652,110344,-455,-1104,-773,-6522,-13121,12977,M
4457734,110255,-490,-2150,-1004,-6184,-9966,7239,M
4457816,110235,-874,-2531,-1313,-7791,-8117,6282,M
4457913,110218,-1343,-1264,-799,-4614,-9020,10545,M
4457995,110177,-65,948,469,1240,-9628,11723,M
4458077,110218,1334,2307,1426,-4305,-8335,6741,M
4458159,110388,1027,2402,1373,-5754,-7624,5342,M
4458258,110343,254,1235,390,-7409,-12791,11293,M
4458340,110322,-224,529,-248,-9021,-17078,16665,M
4458422,110244,-373,-535,-470,-10718,-16340,14088,M
4458519,110136,-236,-1420,-623,-5795,-11688,7215,M
4458601,110063,-824,-2192,-926,-6018,-8127,6591,M
4458683,110030,-653,-2164,-1202,-7254,-7911,8311,M
4458765,110183,-681,-423,-104,-5196,-11474,13111,M
4458862,110033,504,1698,1325,-3136,-10343,9408,M
4458944,110115,1463,2322,1618,-5453,-10069,11060,M
4459026,110247,872,1186,718,-6475,-11636,10631,M
4459108,110300,353,174,-361,-6416,-12459,11980,M
4459207,110287,-248,-418,-657,-12158,-16955,15551,M
4459289,110132,-189,-485,-895,-6422,-15301,12986,M
4459371,110171,-149,-1498,-892,-4189,-10807,6713,M
4459468,109955,-725,-2039,-1079,-4077,-8383,4855,M
4459550,110065,-649,-1598,-625,-5377,-8575,8599,M
4459632,110072,-30,-218,642,-1848,-12402,12615,M
4459714,110105,1129,1613,1699,-3148,-11094,7508,M
4459811,110325,602,2756,1885,-8007,-10454,8280,M
4459893,110254,669,1503,687,-7114,-12028,13286,M
4459975,110348,550,377,-172,-7570,-13343,13343,M
4460057,110298,-886,-428,-447,-11572,-16485,13227,M
4460154,110208,-165,-1052,-620,-6533,-14119,10896,M
4460236,110192,-721,-1935,-889,-5351,-10935,6018,M
4460318,110271,-1299,-2110,-1202,-5587,-8257,5244,M
4460400,110276,-736,-1606,-798,-4892,-9308,8078,M
4460499,110361,-420,1005,1077,-3189,-13407,13744,M
4460581,110269,2272,2088,1881,-4878,-9133,7469,M
4460663,110337,1117,2403,1780,-8190,-9253,6703,M
4460760,110225,58,1397,522,-9207,-10931,10280,M
4460842,110170,99,533,-376,-11451,-17553,12983,M
