time_ms,ir,ax,ay,az,gx,gy,gz,label
577334,134604,89,-88,255,3628,-13975,11919,W
577431,134354,154,320,170,2418,-9195,15033,W
577512,134414,412,-37,82,3020,-10069,12882,W
577593,134398,469,-285,177,3453,-9831,9931,W
577675,134354,-7,-631,678,1963,-9549,10864,W
577757,134315,-244,-869,823,1830,-10120,12745,W
577856,134273,-110,-1110,957,3544,-12536,12056,W
577938,134267,520,-400,1000,4902,-11256,14935,W
578019,134232,-234,-387,1235,5738,-9272,14846,W
578101,134162,-38,-700,749,2197,-8972,9474,W
578198,134105,76,-612,444,4036,-9602,10298,W
578280,134182,-19,-658,424,3271,-12526,11636,W
578362,134136,-171,-287,389,1275,-14230,12166,W
578444,134017,-845,539,587,1783,-11532,13333,W
578525,133863,60,608,-316,2035,-11539,13935,W
578622,133767,560,-299,-566,5488,-9982,9753,W
578703,133825,60,-810,-10,3255,-10456,9194,W
578785,133841,-175,-904,302,3387,-12756,10779,W
578867,133767,-102,-991,502,4026,-13672,10968,W
578948,133720,-102,-922,979,9276,-14036,12818,W
579030,133688,95,-640,950,10246,-10115,12170,W
579111,133673,722,-711,721,5485,-9767,9369,W
579209,133618,386,-534,876,6518,-10756,8834,W
579290,133690,157,-667,840,4701,-12450,8677,W
579371,133763,64,-580,655,4844,-13469,10219,W
579452,133766,443,-305,666,2817,-10851,16710,W
579533,133757,486,-400,549,1899,-9600,12802,W
579614,133692,858,-520,247,2830,-9617,10681,W
579695,133631,644,-673,219,2159,-9639,11155,W
579776,133619,225,-561,654,2911,-10866,11637,W
579857,133656,-281,-678,827,2452,-10898,12063,W
579939,133741,149,-999,908,5380,-12087,10859,W
580036,133810,403,-748,1723,4907,-8805,14966,W
580117,133829,-108,-1179,1352,3327,-7381,11352,W
580199,133845,-53,-848,704,3515,-9540,11239,W
580281,133810,-92,-573,315,2462,-12337,10833,W
580363,133697,-258,-436,429,2955,-12585,9162,W
580460,133623,-402,49,274,2860,-12529,13391,W
580541,133648,-45,551,39,3249,-12384,14650,W
580622,133636,119,184,-44,2902,-11554,12194,W
580703,133592,261,-151,-33,3769,-9599,9643,W
580785,133599,253,-557,166,3740,-10415,10499,W
580867,133617,-68,-886,317,1013,-12809,10459,W
580966,133401,-200,-823,217,2882,-13416,8496,W
581048,133533,219,-580,309,8228,-11813,12451,W
581130,133460,219,-274,460,9873,-9869,13533,W
581227,133386,387,-400,302,4673,-10534,10656,W
581308,133338,-29,-243,372,7144,-10085,9384,W
581390,133264,-828,-171,474,6269,-10763,8818,W
581472,133461,12,-64,365,3697,-13335,9967,W
581554,133612,376,-152,377,5547,-14962,15026,W
581651,133777,-762,-220,288,490,-14535,12963,W
581733,133639,-704,-241,-211,2780,-10513,8549,W
581815,133658,25,-353,-551,2980,-7579,8833,W
581897,133578,607,-508,-478,2321,-11037,7731,W
581994,133421,408,-227,-53,6163,-14913,7066,W
582076,133329,277,-990,-532,10451,-15291,9021,W
582158,133408,99,-1057,-369,7141,-12711,12986,W
582240,133383,-634,-280,292,7222,-10763,13720,W
582322,133320,-255,280,456,4375,-11555,9544,W
582419,133209,-224,444,105,6844,-11140,5284,W
582501,133248,-521,369,43,7060,-10464,4657,W
582583,133296,26,537,-268,7493,-13489,7033,W
582665,133464,1150,683,-183,6338,-13512,15236,W
582762,133587,221,59,-207,7927,-11794,14105,W
582844,133550,77,4,-330,6612,-10391,9288,W
582926,133423,-127,-79,-105,5613,-10861,6909,W
583008,133309,-143,-149,140,6556,-11198,8264,W
583105,133300,500,-65,409,9290,-12743,9470,W
583187,133317,279,81,850,9973,-11604,12153,W
583268,133319,-99,53,806,6406,-11985,10518,W
583350,133308,119,12,426,4149,-10301,9536,W
583431,133178,-303,-321,354,4854,-10230,8200,W
583513,133155,72,-422,10,4091,-11089,7648,W
583610,133203,1106,-65,-15,8161,-12860,12860,W
583692,133213,332,-154,205,4389,-11133,13300,W
583774,133365,812,-268,-26,5658,-11528,12483,W
583855,133433,586,-580,117,5232,-11563,10481,W
583936,133452,19,-704,580,4202,-11072,9042,W
584018,133445,1,-703,606,5155,-10605,9192,W
584115,133477,272,-984,880,8073,-12133,9971,W
584196,133502,718,-914,956,8811,-11851,11339,W
584278,133562,132,-646,1092,9066,-10340,12813,W
584359,133506,461,-817,678,6130,-10160,10426,W
584440,133429,204,-790,628,5668,-9617,8687,W
584522,133437,-55,-700,462,6539,-9806,9381,W
584621,133405,435,-361,246,8081,-12738,12940,W
584703,133407,70,-427,567,6049,-11747,14491,W
584785,133332,158,-627,720,5425,-10800,13474,W
584882,133262,354,-739,714,4907,-10714,10418,W
584964,133116,120,-910,736,4381,-10837,9990,W
585046,133137,62,-977,487,3071,-11474,9412,W
585128,133177,-69,-897,163,3038,-13338,8818,W
585225,133273,258,-611,-233,4963,-13772,7729,W
585307,133385,469,-152,-246,8208,-13597,11911,W
585389,133334,-50,109,-10,6888,-10291,10060,W
585471,133277,-511,638,-148,8111,-10351,10795,W
585570,133212,-14,976,-830,5715,-11544,9863,W
585652,133188,-435,823,-710,6064,-9085,10600,W
585734,133189,-1047,603,-758,6628,-10004,11112,W
585831,133179,-172,706,-741,5644,-11659,12651,W
585913,133178,-207,685,-552,5026,-12786,11112,W
585995,133188,-307,613,-656,4050,-11893,9773,W
586077,133210,-565,576,-533,4368,-11397,9959,W
586174,133237,-442,502,-246,4499,-12853,10885,W
586256,133256,-526,401,80,5487,-13979,9381,W
586338,133254,112,518,-31,6664,-12395,10302,W
586420,133256,-541,639,70,7462,-10158,10500,W
586502,133242,-76,721,-433,5223,-11070,9744,W
586599,133189,-77,536,-660,5875,-12044,7605,W
586681,133202,-268,636,-356,5050,-11835,8766,W
586763,133252,-150,411,-168,5753,-14046,9360,W
586845,133248,-132,379,-283,5921,-14186,12825,W
586942,133207,-248,203,-203,3914,-12582,12921,W
587024,133173,-319,201,-168,3923,-12513,9591,W
587106,133149,-289,-19,-381,4006,-11106,8215,W
587188,133132,-423,-233,-232,4175,-11696,7637,W
587285,133114,-186,-148,-257,6223,-13896,8459,W
587367,133107,267,-245,124,8334,-16026,9597,W
587449,133019,337,-408,298,9723,-12908,8578,W
587531,133026,62,-330,233,7302,-10418,8821,W
587628,133001,121,-383,84,5365,-10708,6638,W
587709,133022,-339,-292,178,6353,-10801,6921,W
587791,133047,-73,-86,113,7497,-12934,8275,W
587873,133194,503,-194,710,9458,-15791,10035,W
587955,133026,-175,-509,915,6057,-12832,10176,W
588052,133131,-67,-1127,931,4707,-11656,7654,W
588134,133158,372,-1279,797,2690,-11425,6367,W
588216,133063,811,-1407,691,3568,-12904,6997,W
588298,133014,2002,-1239,237,4821,-13520,9350,W
588380,132880,735,-1004,680,6176,-11491,13493,W
