time_ms,ir,ax,ay,az,gx,gy,gz,label
168649,110274,1,-5,-9,1846,-301,-16628,S
168746,110022,8,-1,3,1633,-299,-16694,S
168828,109894,4,-11,13,1860,-375,-16529,S
168910,109757,-2,-7,-5,1818,-316,-16374,S
168992,109658,-11,0,-2,1784,-309,-16315,S
169089,109567,0,-2,-5,1653,-414,-16416,S
169171,109666,-2,9,1,1869,-440,-16553,S
169253,109866,-10,-7,12,1767,-318,-16539,S
169335,109888,2,1,6,1826,-136,-16416,S
169432,109759,-3,-9,-8,1932,-419,-16507,S
169514,109717,-10,-5,-1,1703,-224,-16387,S
169596,109675,8,4,-2,1829,-269,-16362,S
169678,109677,1,-8,-2,1762,-247,-16369,S
169760,109569,2,1,3,1762,-315,-16529,S
169857,109377,3,-9,2,1792,-299,-16643,S
169939,109304,-10,1,2,1743,-266,-16440,S
170021,109311,6,-2,1,1821,-321,-16576,S
170103,109246,1,-1,7,1757,-379,-16447,S
170200,109124,-5,-2,8,1745,-266,-16531,S
170282,109096,-3,-19,8,1754,-361,-16522,S
170364,109020,-10,6,5,1673,-317,-16486,S
170446,108933,-1,-3,0,1860,-384,-16401,S
170543,108883,-6,-2,-2,1786,-292,-16463,S
170625,108747,-7,2,11,1687,-375,-16616,S
170707,108600,2,-10,4,1742,-196,-16494,S
170789,108481,-4,5,2,1838,-307,-16561,S
170886,108478,0,-4,-8,1779,-306,-16409,S
170968,108381,5,-12,3,1779,-305,-16318,S
171050,108324,-10,2,-3,1769,-352,-16528,S
171132,108311,0,-5,-4,1664,-389,-16430,S
171229,108314,-6,-11,9,1806,-299,-16493,S
171311,108248,-1,5,0,1772,-320,-16537,S
171393,108221,0,-3,3,1860,-343,-16351,S
171475,108227,-3,-4,-8,1749,-299,-16362,S
171574,108064,0,4,7,1854,-356,-16735,S
171656,108018,2,5,-8,1770,-269,-16517,S
171738,108007,6,-4,-4,1703,-327,-16496,S
171835,108005,2,-5,11,1778,-326,-16385,S
171917,107902,-6,6,-7,1794,-346,-16543,S
171999,107823,4,-17,-5,1753,-352,-16453,S
172081,107669,4,-3,12,1797,-280,-16443,S
172178,107391,-3,-10,1,1819,-166,-16506,S
