time_ms,ir,ax,ay,az,gx,gy,gz,label
20165,117464,0,-1,-12,2966,-14036,-8543,R
20264,117397,-18,-1,6,3105,-14161,-8396,R
20346,117498,-1,1,-2,2922,-14075,-8441,R
20428,117613,0,-4,2,2982,-14195,-8454,R
20525,117709,17,-4,-2,3026,-14082,-8463,R
20607,117683,24,-9,5,3042,-14095,-8529,R
20689,117296,20,-7,3,2955,-14056,-8391,R
20771,117472,19,-7,4,2890,-14131,-8445,R
20868,117617,10,-2,9,3077,-14089,-8361,R
20950,117669,10,-12,7,2860,-14198,-8429,R
21032,117732,1,-15,0,2987,-14152,-8529,R
21114,117868,-13,-6,7,3003,-14238,-8284,R
21213,117849,-19,6,-1,2896,-14107,-8331,R
21295,117931,-42,4,-7,2865,-14138,-8390,R
21377,117504,-27,-1,8,2888,-14148,-8377,R
21474,117591,-22,6,-7,3071,-14068,-8329,R
21556,117705,-5,9,5,3080,-14224,-8256,R
21638,117790,10,-1,0,2970,-14093,-8409,R
21720,117783,9,-5,0,3078,-14198,-8521,R
21817,117898,11,-1,-1,3004,-14009,-8344,R
21899,117981,-9,-3,-1,2943,-14143,-8284,R
21981,118002,-17,-2,3,2919,-14170,-8354,R
22063,117657,-1,-3,-5,3064,-13942,-8508,R
22145,117584,-6,-2,-7,3002,-13953,-8392,R
22242,117713,-1,-5,12,3003,-14081,-8477,R
22324,117793,12,-9,6,3008,-13927,-8444,R
22406,117829,0,-3,1,3026,-14031,-8502,R
22488,117838,7,-5,-6,2977,-14104,-8463,R
22585,117893,9,-21,3,3127,-14173,-8444,R
22667,117961,21,-5,2,2953,-14091,-8412,R
22749,117501,29,-11,2,3096,-14068,-8416,R
22831,117677,14,-9,0,3073,-14015,-8321,R
22928,117890,5,-14,7,2989,-14240,-8375,R
23010,117901,11,-17,0,2918,-14176,-8262,R
23092,117913,26,-2,-17,2954,-13306,-7825,R
23174,118057,-5,-2,8,3130,-14119,-8354,R
23271,118076,-7,0,0,2910,-14231,-8395,R
23353,118065,-23,3,-11,2895,-14198,-8433,R
23435,117568,-14,11,-14,2950,-14115,-8207,R
23517,117806,-16,2,-8,3031,-14195,-8330,R
23616,117931,-5,-7,4,2917,-14244,-8406,R
23698,117966,0,-6,1,3021,-14109,-8491,R
23780,118034,-7,2,-3,2959,-14125,-8367,R
23877,118060,-22,-3,8,2956,-14076,-8244,R
23959,118131,7,-1,3,3061,-14155,-8350,R
24041,117658,5,-4,-8,2918,-14125,-8528,R
24123,117665,11,-2,-3,2994,-14148,-8422,R
24220,117875,34,-1,-13,2779,-14032,-8383,R
24302,118014,-2,-6,-4,3153,-13991,-8460,R
24384,118040,-25,7,-4,2979,-14049,-8472,R
24466,118151,14,-1,6,2908,-14248,-8413,R
24565,118190,-9,1,7,3112,-14070,-8467,R
24647,118043,-15,-4,8,3072,-14150,-8500,R
24729,117701,8,-6,-3,2968,-14201,-8315,R
24826,117851,-1,2,1,3018,-14085,-8475,R
